Nacimiento;Sexo;Residencia;Estrato;Frecuencia_compra;Sitio_compra;Base_compra;Impulso_compra;Combine_nueva;Info_etiqueta;Import_marquilla;Impacto_textil;Cal_impacto;Recurso_imp;Disposición_ropa;Uso_ropasegunda;Origen_compra
4/01/1980;Femenino;Envigado;4;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
5/01/1980;Femenino;Medellín;3;De 3 a cuatro veces por año.;Todos los medios anteriores mencionados ;Apariencia estética.;La compro por su utilidad.;No.;No.;;Oportunidad de empleos.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
28/01/1980;Masculino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Calidad.;La compro por deseo.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
4/02/1980;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Calidad., Los precios bajos.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
6/02/1980;Masculino;Medellín;5;Dos veces al año.;Tiendas en centros comerciales.;El comercio justo., Los precios bajos.;La compro por su utilidad.;Si.;Si.;Empresa fabricante.;Oportunidad de empleos.;Bajos;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
6/02/1980;Masculino;Medellín;5;Dos veces al año.;Tiendas en centros comerciales.;Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;Si.;Si.;Materiales.;Acumulación de residuos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
4/03/1980;Masculino;Bello;5;Una vez por mes.;Tiendas de autor o marcas locales de diseño., Internet.;Apariencia estética., Utilidad.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Altos;Agua.;La regalo o dono a alguien.;Si.;Importada.
7/03/1980;Masculino;Medellín;5;Una vez por mes.;Tiendas en centros comerciales., Internet.;Apariencia estética., Utilidad., Calidad., La marca o el almacén de compra., El comercio justo., Los precios bajos.;La compro por su utilidad.;Si.;Si.;Empresa fabricante.;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
5/04/1980;Masculino;Medellín;5;Dos veces al año.;Tiendas en centros comerciales.;Apariencia estética., Calidad.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Suelo.;La regalo o dono a alguien.;No.;Importada.
15/04/1980;Femenino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., El comercio justo.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La uso para otro fin.;Si.;Nacional - Local.
